Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State
="2026-08-26 18:10:28",0,0,0,0,1000000,+0.0000,0.2800,+0.0,+0.0,+0.0000,NONE,STOPPED
="2026-08-26 18:10:29",0,0,0,0,1000000,+0.0006,0.2800,+0.0,+0.0,+0.0000,NONE,STOPPED
="2026-08-26 18:10:30",78817,54760,54760,0,1000000,+0.0006,0.2800,+0.0,+0.0,+0.0000,NONE,STOPPED
="2026-08-26 18:10:31",78817,54760,54760,0,1000000,+0.0006,0.2800,+0.0,+0.0,+0.0100,NONE,STOPPED
="2026-08-26 18:10:32",78817,54760,54760,0,1000000,+0.0005,0.2800,+0.0,+0.0,+0.0049,NONE,STOPPED
="2026-08-26 18:10:33",78817,54760,54760,0,1000000,+0.0005,0.2800,+0.0,+0.0,+0.0029,NONE,STOPPED
